@rank@artist@title
0@1@Macklemore & Ryan Lewis Featuring Wanz@Thrift Shop
1@2@Robin Thicke Featuring T.I. + Pharrell@Blurred Lines
2@3@Imagine Dragons@Radioactive
3@4@Baauer@Harlem Shake
4@5@Macklemore & Ryan Lewis Featuring Ray Dalton@Can't Hold Us
5@6@Justin Timberlake@Mirrors
6@7@P!nk Featuring Nate Ruess@Just Give Me A Reason
7@8@"Bruno Mars
 "@When I Was Your Man
8@9@Florida Georgia Line Featuring Nelly@Cruise
9@10@Katy Perry@Roar
10@11@Bruno Mars@Locked Out Of Heaven
11@12@The Lumineers@Ho Hey
12@13@Rihanna Featuring Mikky Ekko@Stay
13@14@Daft Punk Featuring Pharrell Williams@Get Lucky
14@15@Lorde@Royals
15@16@Taylor Swift@I Knew You Were Trouble.
16@17@Miley Cyrus@We Can't Stop
17@18@Miley Cyrus@Wrecking Ball
18@19@Avicii@Wake Me Up!
19@20@Justin Timberlake Featuring JAY Z@Suit & Tie
20@21@Anna Kendrick@Cups (Pitch Perfect's When I'm Gone)
21@22@Jay Z Featuring Justin Timberlake@Holy Grail
22@23@will.i.am & Britney Spears@Scream & Shout
23@24@Zedd Featuring Foxes@Clarity
24@25@AWOLNATION@Sail
25@26@Swedish House Mafia Featuring John Martin@Don't You Worry Child
26@27@Rihanna@Diamonds
27@28@Icona Pop Featuring Charli XCX@I Love It
28@29@Capital Cities@Safe And Sound
29@30@Bruno Mars@Treasure
30@31@Ariana Grande Featuring Mac Miller@The Way
31@32@Drake@Started From The Bottom
32@33@Selena Gomez@Come & Get It
33@34@Drake Featuring Majid Jordan@Hold On, We're Going Home
34@35@Maroon 5@Daylight
35@36@Pitbull Featuring Christina Aguilera@Feel This Moment
36@37@Lady Gaga@Applause
37@38@Maroon 5@One More Night
38@39@Lil Wayne Featuring Drake & Future@Love Me
39@40@Fall Out Boy@My Songs Know What You Did In The Dark (Light Em Up)
40@41@A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar@F**kin Problems
41@42@Justin Bieber Featuring Nicki Minaj@Beauty And A Beat
42@43@Macklemore & Ryan Lewis Featuring Mary Lambert@Same Love
43@44@Calvin Harris Featuring Florence Welch@Sweet Nothing
44@45@Lana Del Rey & Cedric Gervais@Summertime Sadness
45@46@Phillip Phillips@Home
46@47@Imagine Dragons@It's Time
47@48@J. Cole Featuring Miguel@Power Trip
48@49@Alicia Keys Featuring Nicki Minaj@Girl On Fire
49@50@Demi Lovato@Heart Attack
50@51@Maroon 5@Love Somebody
51@52@Mumford & Sons@I Will Wait
52@53@P!nk@Try
53@54@Darius Rucker@Wagon Wheel
54@55@PSY@Gangnam Style
55@56@Calvin Harris Featuring Ellie Goulding@I Need Your Love
56@57@Ke$ha@Die Young
57@58@fun.@Some Nights
58@59@Wale Featuring Tiara Thomas Or Rihanna@Bad
59@60@Blake Shelton Featuring Pistol Annies & Friends@Boys 'round Here
60@61@Phillip Phillips@Gone, Gone, Gone
61@62@Imagine Dragons@Demons
62@63@OneRepublic@Counting Stars
63@64@Flo Rida@"I Cry
 "
64@65@Of Monsters And Men@Little Talks
65@66@Jason Derulo@The Other Side
66@67@Eminem@Berzerk
67@68@Kelly Clarkson@Catch My Breath
68@69@Luke Bryan@Crash My Party
69@70@Rihanna@Pour It Up
70@71@Taylor Swift@22
71@72@Hunter Hayes@I Want Crazy
72@73@Ylvis@The Fox
73@74@One Direction@Best Song Ever
74@75@Ed Sheeran@The A Team
75@76@fun.@Carry On
76@77@Tim McGraw With Taylor Swift@Highway Don't Care
77@78@Luke Bryan@That's My Kind Of Night
78@79@Kendrick Lamar@Swimming Pools (Drank)
79@80@Blake Shelton@Sure Be Cool If You Did
80@81@Mariah Carey Featuring Miguel@#Beautiful
81@82@Olly Murs Featuring Flo Rida@Troublemaker
82@83@Ciara@Body Party
83@84@Miguel@Adorn
84@85@The Script Featuring will.i.am@Hall Of Fame
85@86@Ne-Yo@Let Me Love You (Until You Learn To Love Yourself)
86@87@Rocko Featuring Future & Rick Ross@U.O.E.N.O.
87@88@Emeli Sande@Next To Me
88@89@Miranda Lambert@Mama's Broken Heart
89@90@Thomas Rhett@It Goes Like This
90@91@Ace Hood Featuring Future & Rick Ross@Bugatti
91@92@Hunter Hayes@Wanted
92@93@Lady Antebellum@Downtown
93@94@Florida Georgia Line@Get Your Shine On
94@95@will.i.am Featuring Justin Bieber@#thatPOWER
95@96@Sara Bareilles@Brave
96@97@Passenger@Let Her Go
97@98@Randy Houser@Runnin' Outta Moonlight
98@99@2 Chainz@I'm Different
99@100@Paramore@Still Into You
